Variable,Limitation,Threshold,ThresholdSource
CNL_PI_PCT,Max,10,Ode_et_al_2016
MINES,Max,0,Ode_et_al_2016
AG_WS_01,Max,3,Ode_et_al_2016
UR_WS_01,Max,3,Ode_et_al_2016
AGUR_WS_01,Max,5,Ode_et_al_2016
CD21_WS_01,Max,10,Ode_et_al_2016
AG_WS_06,Max,3,Ode_et_al_2016
UR_WS_06,Max,3,Ode_et_al_2016
AGUR_WS_06,Max,5,Ode_et_al_2016
CD21_WS_06,Max,10,Ode_et_al_2016
AG_WS_11,Max,3,Ode_et_al_2016
UR_WS_11,Max,3,Ode_et_al_2016
AGUR_WS_11,Max,5,Ode_et_al_2016
CD21_WS_11,Max,10,Ode_et_al_2016
AG_WS_16,Max,3,Ode_et_al_2016
UR_WS_16,Max,3,Ode_et_al_2016
AGUR_WS_16,Max,5,Ode_et_al_2016
CD21_WS_16,Max,10,Ode_et_al_2016
AG_1k_01,Max,3,Ode_et_al_2016
UR_1k_01,Max,3,Ode_et_al_2016
AGUR_1k_01,Max,5,Ode_et_al_2016
CD21_1k_01,Max,7,Ode_et_al_2016
AG_1k_06,Max,3,Ode_et_al_2016
UR_1k_06,Max,3,Ode_et_al_2016
AGUR_1k_06,Max,5,Ode_et_al_2016
CD21_1k_06,Max,7,Ode_et_al_2016
AG_1k_11,Max,3,Ode_et_al_2016
UR_1k_11,Max,3,Ode_et_al_2016
AGUR_1k_11,Max,5,Ode_et_al_2016
CD21_1k_11,Max,7,Ode_et_al_2016
AG_1k_16,Max,3,Ode_et_al_2016
UR_1k_16,Max,3,Ode_et_al_2016
AGUR_1k_16,Max,5,Ode_et_al_2016
CD21_1k_16,Max,7,Ode_et_al_2016
AG_5k_01,Max,3,Ode_et_al_2016
UR_5k_01,Max,3,Ode_et_al_2016
AGUR_5k_01,Max,5,Ode_et_al_2016
CD21_5k_01,Max,7,Ode_et_al_2016
AG_5k_06,Max,3,Ode_et_al_2016
UR_5k_06,Max,3,Ode_et_al_2016
AGUR_5k_06,Max,5,Ode_et_al_2016
CD21_5k_06,Max,7,Ode_et_al_2016
AG_5k_11,Max,3,Ode_et_al_2016
UR_5k_11,Max,3,Ode_et_al_2016
AGUR_5k_11,Max,5,Ode_et_al_2016
CD21_5k_11,Max,7,Ode_et_al_2016
AG_5k_16,Max,3,Ode_et_al_2016
UR_5k_16,Max,3,Ode_et_al_2016
AGUR_5k_16,Max,5,Ode_et_al_2016
CD21_5k_16,Max,7,Ode_et_al_2016
PVD_INT_WS,Max,50,Ode_et_al_2016
PVD_INT_1k,Max,10,Ode_et_al_2016
PVD_INT_5k,Max,5,Ode_et_al_2016
RDRRDEN_WS,Max,2,Ode_et_al_2016
RDRRDEN_1k,Max,2,Ode_et_al_2016
RDRRDEN_5k,Max,2,Ode_et_al_2016
NRST_DAM,Min,10,Ode_et_al_2016
